Name,Annotation status,Annotation area,A,BRY,CNCA,CNTR,CR,CRB,ESS,ESU,MOB,MOCH,MOG,SP,WPOT,SU,SC,LICHEN,SHAD,Unc,MAA,MAEC,MAEF,MAEN,MAENR,MAF,MAG,MALA,MALCB,MAS
USMECH201905_196_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,54.000,0.000,0.000,3.000,0.000,1.000,0.000,0.000,0.000,23.000,0.000,0.000,1.000,0.000,10.000,0.000,1.000,0.000,4.000,0.000,3.000,0.000,0.000
USMECH201905_196_high_(2)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,57.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,24.000,0.000,0.000,0.000,0.000,12.000,0.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000
USMECH201905_196_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,39.000,0.000,0.000,4.000,0.000,5.000,0.000,0.000,0.000,32.000,0.000,0.000,0.000,0.000,10.000,0.000,7.000,0.000,2.000,0.000,1.000,0.000,0.000
USMECH201905_196_high_(3)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,53.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000,27.000,0.000,0.000,0.000,0.000,10.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000
USMECH201905_198_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,16.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,38.000,0.000,20.000,0.000,0.000,0.000,5.000,0.000,0.000
USMECH201905_198_high_(2)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.000,0.000,0.000,0.000,0.000,56.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000
USMECH201905_198_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,0.000,1.000,0.000,0.000,54.000,0.000,14.000,0.000,0.000,0.000,6.000,0.000,0.000
USMECH201905_198_high_(3)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,12.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,58.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000
USMECH201905_199_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,19.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,28.000,0.000,28.000,0.000,1.000,0.000,3.000,0.000,10.000
USMECH201905_199_high_(2)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,24.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,35.000,0.000,15.000,0.000,0.000,0.000,0.000,0.000,0.000
USMECH201905_200_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,1.000,0.000,12.000,0.000,1.000,0.000,6.000,0.000,5.000,0.000,71.000
USMECH201905_200_high_(2)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,23.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,0.000,54.000,0.000,0.000,0.000,12.000,0.000,0.000,0.000,0.000
USMECH201905_200_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,16.000,0.000,0.000,0.000,8.000,0.000,5.000,0.000,63.000
USMECH201905_200_high_(3)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,34.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,42.000,0.000,0.000,0.000,21.000,0.000,0.000,0.000,0.000
USMECH201905_562_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,41.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,15.000,1.000,2.000,0.000,11.000,0.000,0.000,0.000,17.000
USMECH201905_562_high_(2)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,49.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,0.000,0.000,0.000,0.000,29.000,0.000,1.000,0.000,5.000,0.000,0.000,0.000,0.000
