Name,source,country,site,strata,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,SHAD,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
CO_GI_PV_HT_20181012_Q01,human,CO,PV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q02,human,CO,PV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q03,human,CO,PV,HT,0,0,0,0,0,2,0,0,98,0,0,0,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q04,human,CO,PV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q05,human,CO,PV,HT,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q06,human,CO,PV,HT,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q07,human,CO,PV,HT,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q08,human,CO,PV,HT,0,0,0,0,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q09,human,CO,PV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q10,human,CO,PV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
CO_GI_PV_LT_20181012_Q01,human,CO,PV,LT,0,0,0,0,0,0,0,6,84,0,0,0,0,0,10,0,0,0,0,0
CO_GI_PV_LT_20181012_Q02,human,CO,PV,LT,0,0,0,0,0,0,0,0,89,0,0,0,0,0,11,0,0,0,0,0
CO_GI_PV_LT_20181012_Q03,human,CO,PV,LT,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,1,0,0,0,0
CO_GI_PV_LT_20181012_Q04,human,CO,PV,LT,0,0,0,0,0,0,0,0,85,0,0,0,0,0,9,6,0,0,0,0
CO_GI_PV_LT_20181012_Q05,human,CO,PV,LT,0,0,0,1,0,0,0,0,75,0,0,0,0,0,24,0,0,0,0,0
CO_GI_PV_LT_20181012_Q06,human,CO,PV,LT,0,0,0,0,0,0,0,0,88,0,0,0,0,0,5,7,0,0,0,0
CO_GI_PV_LT_20181012_Q07,human,CO,PV,LT,0,0,0,0,0,0,0,0,60,0,0,0,0,0,40,0,0,0,0,0
CO_GI_PV_LT_20181012_Q08,human,CO,PV,LT,0,0,0,0,0,0,0,0,71,0,0,0,0,0,29,0,0,0,0,0
CO_GI_PV_LT_20181012_Q09,human,CO,PV,LT,0,0,0,0,0,0,0,0,68,0,0,0,0,0,32,0,0,0,0,0
CO_GI_PV_LT_20181012_Q10,human,CO,PV,LT,0,0,0,0,0,0,0,0,41,0,0,0,0,0,59,0,0,0,0,0
CO_GI_PV_MT_20181012_Q01,human,CO,PV,MT,0,0,0,0,0,0,0,41,59,0,0,0,0,0,0,0,0,0,0,0
CO_GI_PV_MT_20181012_Q02,human,CO,PV,MT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
CO_GI_PV_MT_20181012_Q03,human,CO,PV,MT,0,0,0,0,0,0,0,68,25,0,0,0,0,0,7,0,0,0,0,0
CO_GI_PV_MT_20181012_Q04,human,CO,PV,MT,0,0,0,0,0,0,0,8,56,0,0,0,0,0,34,2,0,0,0,0
CO_GI_PV_MT_20181012_Q05,human,CO,PV,MT,0,0,0,0,0,0,0,6,82,0,0,0,0,0,12,0,0,0,0,0
CO_GI_PV_MT_20181012_Q06,human,CO,PV,MT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
CO_GI_PV_MT_20181012_Q07,human,CO,PV,MT,0,0,0,0,0,0,0,17,50,0,0,0,0,0,31,2,0,0,0,0
CO_GI_PV_MT_20181012_Q08,human,CO,PV,MT,0,0,0,0,0,0,0,20,51,0,0,0,0,0,29,0,0,0,0,0
CO_GI_PV_MT_20181012_Q09,human,CO,PV,MT,0,0,0,0,0,0,0,25,59,0,1,0,0,0,15,0,0,0,0,0
CO_GI_PV_MT_20181012_Q10,human,CO,PV,MT,0,0,0,0,0,0,0,13,79,0,0,0,0,0,8,0,0,0,0,0
EC_SX_CD_HT_20190327_Q01,human,EC,CD,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q02,human,EC,CD,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q03,human,EC,CD,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q04,human,EC,CD,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q05,human,EC,CD,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q06,human,EC,CD,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q07,human,EC,CD,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q08,human,EC,CD,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
